,Unnamed: 0,Volume,Last,Chg,% Chg
0,Tivic Health Systems Inc. (TIVC),29.3M,7.39,3.89,111.14
1,Oblong Inc. (OBLG),14.3M,2.92,0.79,36.68
2,Agenus Inc. (AGEN),1.2M,3.03,0.72,31.17
3,VCI Global Ltd. (VCIG),657.3K,3.59,0.75,26.55
4,Safe Pro Group Inc. (SPAI),117.4K,3.4,0.7,25.91
5,Bitdeer Technologies Group (BTDR),3.8M,9.36,1.76,23.16
6,NovaGold Resources Inc. (NG),7.0M,3.8,0.69,22.35
7,Portage Biotech Inc. (PRTG),266.8K,11.0,1.91,21.01
8,60 Degrees Pharmaceuticals Inc. (SXTP),1.4M,3.77,0.61,19.3
9,Hertz Global Holdings Inc. (HTZ),34.7M,9.31,1.48,18.9
10,TeraWulf Inc. (WULF),31.5M,2.68,0.42,18.89
11,WiMi Hologram Cloud Inc. Cl B (WIMI),872.9K,5.35,0.85,18.84
12,AgapeATP Corp. (ATPC),414.1K,2.46,0.39,18.6
13,Cipher Mining Inc. (CIFR),12.5M,2.77,0.43,18.42
14,908 Devices Inc. (MASS),883.9K,5.68,0.88,18.41
15,Hesai Group ADR (HSAI),4.5M,13.68,2.07,17.83
16,Femto Technologies Inc. (FMTO),1.9M,6.97,0.97,16.13
17,CleanSpark Inc. (CLSK),20.3M,8.66,1.2,16.0
18,LogProstyle Inc. (LGPS),55.1K,4.0,0.55,15.98
19,Knightscope Inc. (KSCP),484.2K,5.36,0.73,15.91
20,Gauzy Ltd. (GAUZ),108.3K,10.37,1.38,15.35
21,BriaCell Therapeutics Corp. (BCTX),226.2K,4.8,0.61,14.56
22,BTC Digital Ltd. (BTCT),461.0K,3.83,0.48,14.33
23,Oncology Institute Inc. (TOI),1.3M,2.72,0.33,13.81
24,Amylyx Pharmaceuticals Inc. (AMLX),590.6K,4.8,0.57,13.59
25,Eason Technology Ltd. ADR (DXF),77.7K,8.0,0.95,13.48
26,Equifax Inc. (EFX),611.3K,244.23,28.94,13.44
27,Riot Platforms Inc. (RIOT),15.9M,7.08,0.8,12.64
28,HUTCHMED (China) Ltd. ADR (HCM),59.7K,15.64,1.75,12.56
29,Creative Media & Community Trust Corp. (CMCT),876.8K,4.68,0.52,12.5
30,First Solar Inc. (FSLR),4.5M,137.32,14.87,12.14
31,CuriosityStream Inc. (CURI),177.0K,3.42,0.37,12.13
32,Antelope Enterprise Holdings Ltd. (AEHL),191.1K,2.88,0.3,11.63
33,Root Inc. Cl A (ROOT),206.2K,132.1,13.71,11.58
34,Semler Scientific Inc. (SMLR),147.7K,33.28,3.45,11.57
35,Coya Therapeutics Inc. (COYA),80.3K,6.37,0.66,11.56
36,Regulus Therapeutics Inc. (RGLS),251.6K,2.24,0.23,11.44
37,Capricor Therapeutics Inc. (CAPR),862.5K,13.28,1.36,11.41
38,ThredUp Inc. Cl A (TDUP),722.6K,3.71,0.37,11.08
39,PureCycle Technologies Inc. (PCT),2.1M,6.18,0.61,10.96
40,MARA Holdings Inc. (MARA),31.9M,13.6,1.31,10.7
41,Nukkleus Inc. (NUKK),117.7K,14.18,1.37,10.69
42,Calix Inc. (CALX),1.1M,36.78,3.54,10.63
43,IREN Ltd. (IREN),10.4M,6.1,0.58,10.62
44,Hut 8 Corp. (HUT),3.7M,11.76,1.12,10.53
45,REGENXBIO Inc. (RGNX),453.4K,7.36,0.69,10.34
46,Newsmax Inc. Cl B (NMAX),1.6M,23.96,2.23,10.29
47,Full House Resorts Inc. (FLL),82.7K,3.22,0.3,10.27
48,Carvana Co. Cl A (CVNA),2.0M,215.82,19.98,10.21
49,SolarEdge Technologies Inc. (SEDG),2.3M,13.31,1.21,10.0
50,Mingteng International Corp. Inc. (MTEN),73.8K,6.7,0.6,9.84
51,Ameresco Inc. Cl A (AMRC),249.9K,9.51,0.85,9.82
52,Frequency Electronics Inc. (FEIM),54.8K,18.19,1.62,9.78
53,Piedmont Lithium Inc. (PLL),149.2K,7.43,0.66,9.75
54,PagSeguro Digital Ltd. Cl A (PAGS),2.6M,9.27,0.8,9.43
55,SunOpta Inc. (STKL),278.8K,4.05,0.34,9.16
56,INVESCO Ltd. (IVZ),3.7M,13.59,1.13,9.08
57,Intercont (Cayman) Ltd. (NCT),129.5K,5.84,0.48,9.05
58,Verastem Inc. (VSTM),413.4K,6.77,0.56,9.02
59,Bausch Health Cos. Inc. (BHC),1.7M,5.14,0.42,9.0
60,Metsera Inc. (MTSR),389.7K,21.25,1.74,8.92
61,Solid Biosciences Inc. (SLDB),1.1M,3.3,0.27,8.91
62,Sportradar Group AG Cl A (SRAD),1.3M,25.04,2.03,8.84
63,Evotec SE ADR (EVO),154.5K,3.9,0.32,8.8
64,QuantaSing Group Ltd. ADR (QSG),158.3K,4.22,0.34,8.76
65,Atkore Inc. (ATKR),216.9K,61.68,4.95,8.72
66,NuScale Power Corp. (SMR),2.0M,14.8,1.16,8.47
67,Sleep Number Corp. (SNBR),187.9K,5.77,0.45,8.46
68,Ares Commercial Real Estate Corp. (ACRE),269.2K,3.86,0.3,8.43
69,MicroStrategy Inc. (MSTR),12.5M,344.2,26.44,8.32
70,CoreWeave Inc. Cl A (CRWV),4.3M,38.32,2.91,8.22
71,Zai Lab Ltd. ADR (ZLAB),422.4K,32.14,2.43,8.18
72,Verve Therapeutics Inc. (VERV),1.6M,5.17,0.39,8.16
73,Zhengye Biotechnology Holding Ltd. (ZYBT),554.8K,8.32,0.62,8.05
74,FTAI Infrastructure Inc. (FIP),391.9K,3.76,0.28,8.05
75,Pentair PLC (PNR),824.9K,85.3,6.34,8.04
76,INmune Bio Inc. (INMB),148.6K,7.86,0.58,8.04
77,Dingdong (Cayman) Ltd. ADR (DDL),614.7K,2.5,0.18,8.01
78,Bicycle Therapeutics Ltd. ADR (BCYC),179.0K,8.11,0.6,7.99
79,Xometry Inc. Cl A (XMTR),214.5K,23.95,1.77,7.98
80,Phunware Inc. (PHUN),103.6K,2.72,0.2,7.94
81,Galecto Inc. (GLTO),67.3K,2.61,0.19,7.85
82,BeiGene Ltd. ADR (ONC),280.2K,247.09,17.87,7.8
83,Coinbase Global Inc. (COIN),5.2M,188.56,13.56,7.75
84,Quest Diagnostics Inc. (DGX),567.3K,174.4,12.54,7.75
85,Lightbridge Corp. (LTBR),414.4K,7.65,0.55,7.75
86,MBX Biosciences Inc. (MBX),99.5K,8.23,0.59,7.72
87,Summit Therapeutics Inc. (SMMT),1.7M,27.16,1.94,7.69
88,GRAIL Inc. (GRAL),440.8K,28.44,2.02,7.65
89,PulteGroup Inc. (PHM),773.1K,100.2,7.09,7.61
90,RedHill Biopharma Ltd. ADR (RDHL),96.1K,2.34,0.17,7.6
91,RH (RH),787.7K,167.51,11.72,7.52
92,Lifevantage Corp. (LFVN),52.7K,13.3,0.92,7.43
93,Global Mofy AI Ltd. (GMM),63.2K,2.17,0.15,7.42
94,Porch Group Inc. (PRCH),748.3K,5.0,0.34,7.4
95,Sezzle Inc. (SEZL),213.5K,41.44,2.85,7.39
96,KORU Medical Systems Inc. (KRMD),58.3K,2.4,0.17,7.37
97,Core Scientific Inc. (CORZ),4.6M,6.86,0.47,7.28
98,Green Plains Inc. (GPRE),350.3K,3.54,0.24,7.27
99,Trinseo PLC (TSE),115.0K,3.32,0.23,7.26
